symbol,isin,type,stage,stageCode
TDPOWERSYS,INE419M01027,LTASM,I,21
TANKUP,INE0Z7N01017,LTASM,I,21
ATLANTAELE,INE0Z4F01028,LTASM,III,23
NIPPOBATRY,INE567A01028,LTASM,I,21
KRIDHANINF,INE524L01026,STASM,I,11
KDL,INE0O4R01018,STASM,I,11
DPEL,INE0SCO01019,LTASM,I,21
APTECHT,INE266F01018,STASM,I,11
ANMOL,INE02AR01019,STASM,I,11
ONELIFECAP,INE912L01015,LTASM,I,21
DIAMINESQ,INE591D01014,LTASM,I,21
TIPSFILMS,INE0LQS01015,LTASM,I,21
ALPHAGEO,INE137C01018,LTASM,I,21
JINDALPOLY,INE197D01010,LTASM,I,21
JAINAM,INE02KC01010,LTASM,I,21
BBOX,INE676A01027,STASM,I,11
SUTLEJTEX,INE645H01027,STASM,I,11
OMNI,INE0UH301010,LTASM,I,21
PATTECH,INE0NZW01014,LTASM,I,21
SHAILY,INE151G01028,STASM,I,11
DELTAMAGNT,INE393A01011,LTASM,I,21
ARIHANT,INE413D01011,LTASM,I,21
SHIVAMILLS,INE644Y01017,LTASM,I,21
RUCHINFRA,INE413B01023,STASM,I,11
TEJASNET,INE010J01012,STASM,I,11
VINDHYATEL,INE707A01012,STASM,I,11
FUSION,INE139R01012,STASM,I,11
ELPROINTL,INE579B01039,STASM,I,11
SPLIL,INE978G01016,STASM,I,11
AWFIS,INE108V01019,STASM,I,11
KANORICHEM,INE138C01024,STASM,I,11
GLOBALVECT,INE792H01019,LTASM,I,21
SUMEETINDS,INE235C01036,LTASM,I,21
WEBELSOLAR,INE855C01023,STASM,II,12
MMWL,INE200D01020,STASM,I,11
SUPERSPIN,INE662A01027,LTASM,I,21
TAMBOLIIN,INE864J01012,STASM,I,11
AUSOMENT,INE218C01016,STASM,I,11
MADHAV,INE925C01016,LTASM,I,21
RAJSREESUG,INE562B01019,LTASM,I,21
PURPLEUTED,INE0P5R01014,STASM,I,11
GENUSPAPER,INE949P01018,STASM,I,11
SPECTRUM,INE01EO01010,STASM,I,11
SHRADHA,INE715Y01031,STASM,I,11
21STCENMGM,INE253B01015,LTASM,I,21
SONUINFRA,INE0JZA01018,STASM,I,11
DEEDEV,INE841L01016,LTASM,I,21
STLNETWORK,INE1VXE01018,STASM,I,11
