DATE,SYMBOL,COMPANY_NAME,ISIN,TYPE,STAGE,STAGE_CODE,LABEL,AS_OF_DATE,CIRC_REVISION
2026-05-15,63MOONS,"63 moons technologies limited",INE111B01023,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,ABCOTS,"A B Cotspin India Limited",INE08PH01015,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,ADANIENSOL,"Adani Energy Solutions Limited",INE931S01010,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,ADDICTIVE,"Addictive Learning Technology Limited",INE0RDH01021,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,AEQUS,"Aequs Limited",INE947N01017,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,ALPA,"Alpa Laboratories Limited",INE385I01010,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,ANMOL,"Anmol India Limited",INE02AR01019,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,APCOTEXIND,"Apcotex Industries Limited",INE116A01032,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,APTECHT,"Aptech Limited",INE266F01018,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,ARISTO,"Aristo Bio-Tech And Lifescience Limited",INE082101010,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,ASPIRE,"Aspire & Innovative Advertising Limited",INE0S7801010,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,AURIGROW,"Auri Grow India Limited",INE925Y01036,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,AUROIMPEX,"Auro Impex  & Chemicals Limited",INE0NUL01018,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,AUSOMENT,"Ausom Enterprise Limited",INE218C01016,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,AUTOIND,"Autoline Industries Limited",INE718H01014,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,AVALON,"Avalon Technologies Limited",INE0LCL01028,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,AWFIS,"Awfis Space Solutions Limited",INE108V01019,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,BAJAJST,"Bajaj Steel Industries Limited",INE704G01024,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,BALAJEE,"Shree Tirupati Balajee Agro Trading Company Limited",INE0S2G01011,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,BAWEJA,"Baweja Studios Limited",INE0JFJ01011,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,BBOX,"Black Box Limited",INE676A01027,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,BEACON,"Beacon Trusteeship Limited",INE639X01027,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,BFUTILITIE,"BF Utilities Limited",INE243D01012,STASM,I,11,STASM-I,15-May-2026,11
2026-05-15,BHAGCHEM,"Bhagiradha Chemicals & Industries Limited",INE414D01027,STASM,I,11,STASM-I,15-May-2026,11
