DATE,SYMBOL,SERIES,LAST_PRICE,LOWER_BAND,UPPER_BAND,BAND_PCT,BAND_LABEL,ASM_CODE,ASM_TYPE,ASM_STAGE,ASM_LABEL
2026-05-17,21STCENMGM,EQ,0,0,0,2,2%,21,LTASM,I,LTASM-I
2026-05-17,ACSTECH,EQ,0,0,0,2,2%,0,NONE,,
2026-05-17,AKSHOPTFBR,BE,0,0,0,2,2%,0,NONE,,
2026-05-17,ANSALAPI,BZ,0,0,0,2,2%,0,NONE,,
2026-05-17,AVATAR,ST,0,0,0,2,2%,0,NONE,,
2026-05-17,BANKA,BE,0,0,0,2,2%,0,NONE,,
2026-05-17,BLUECHIP,EQ,0,0,0,2,2%,0,NONE,,
2026-05-17,BOHRAIND,BE,0,0,0,2,2%,0,NONE,,
2026-05-17,DCMFINSERV,BE,0,0,0,2,2%,0,NONE,,
2026-05-17,EMAMIREAL,BE,0,0,0,2,2%,0,NONE,,
2026-05-17,EMPOWER,BE,0,0,0,2,2%,0,NONE,,
2026-05-17,EXCELLENT,ST,0,0,0,2,2%,0,NONE,,
2026-05-17,FEL,BZ,0,0,0,2,2%,0,NONE,,
2026-05-17,GLFL,BE,0,0,0,2,2%,0,NONE,,
2026-05-17,GVKPIL,BE,0,0,0,2,2%,0,NONE,,
2026-05-17,INSPIRE,ST,0,0,0,2,2%,0,NONE,,
2026-05-17,ITTL,ST,0,0,0,2,2%,0,NONE,,
2026-05-17,LLOYDS,ST,0,0,0,2,2%,0,NONE,,
2026-05-17,LOYALTEX,BE,0,0,0,2,2%,0,NONE,,
2026-05-17,MEP,BZ,0,0,0,2,2%,0,NONE,,
2026-05-17,NAHARSPING,BE,0,0,0,2,2%,0,NONE,,
2026-05-17,RAJRILTD,BE,0,0,0,2,2%,0,NONE,,
2026-05-17,S&SPOWER,BE,0,0,0,2,2%,0,NONE,,
2026-05-17,SADHNANIQ,BE,0,0,0,2,2%,0,NONE,,
2026-05-17,SANGINITA,BE,0,0,0,2,2%,0,NONE,,
2026-05-17,SANWARIA,BZ,0,0,0,2,2%,0,NONE,,
2026-05-17,SETCO,BE,0,0,0,2,2%,0,NONE,,
2026-05-17,SEYAIND,BE,0,0,0,2,2%,0,NONE,,
2026-05-17,SHYAMTEL,BE,0,0,0,2,2%,0,NONE,,
2026-05-17,SITINET,BZ,0,0,0,2,2%,0,NONE,,
2026-05-17,SWASTIK,ST,0,0,0,2,2%,0,NONE,,
2026-05-17,TGL,ST,0,0,0,2,2%,0,NONE,,
2026-05-17,UCL,ST,0,0,0,2,2%,0,NONE,,
2026-05-17,UNIVPHOTO,BE,0,0,0,2,2%,0,NONE,,
2026-05-17,VILINBIO,ST,0,0,0,2,2%,0,NONE,,
2026-05-17,WINSOME,BZ,0,0,0,2,2%,0,NONE,,
2026-05-17,A2ZINFRA,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,AAKAAR,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,AAKASH,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,AAREYDRUGS,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,ABAN,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,ABANSENT,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,ABDL,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,ABMINTLLTD,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,ABSLLIQUID,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,ACCORD,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,ACCPL,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,ACCURACY,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,ACL,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,ADDICTIVE,SM,0,0,0,5,5%,11,STASM,I,STASM-I
2026-05-17,AEPL,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,AFFORDABLE,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,AFIL,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,AGARWALFT,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,AGNI,SM,0,0,0,5,5%,21,LTASM,I,LTASM-I
2026-05-17,AGSTRA,BZ,0,0,0,5,5%,0,NONE,,
2026-05-17,AGUL,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,AHIMSA,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,AHLWEST,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,AILIMITED,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,AISL,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,AKANKSHA,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,AKIKO,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,ALCODIS,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,AMBAAUTO,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,AMBANIORGO,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,AMBEY,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,AMEYA,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,AMIRCHAND,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,ANIKINDS,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,ANKITMETAL,BZ,0,0,0,5,5%,0,NONE,,
2026-05-17,ANLON,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,ANTELOPUS,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,AONELIQUID,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,APEXECO,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,APSISAERO,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,AQYLON,EQ,0,0,0,5,5%,21,LTASM,I,LTASM-I
2026-05-17,ARCIIL,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,ARISTO,SM,0,0,0,5,5%,11,STASM,I,STASM-I
2026-05-17,ARSHIYA,BZ,0,0,0,5,5%,0,NONE,,
2026-05-17,ARTNIRMAN,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,ARUNAYA,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,ARVINDPORT,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,ASCOM,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,ASPIRE,SM,0,0,0,5,5%,11,STASM,I,STASM-I
2026-05-17,ASTRON,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,ATCENERGY,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,ATLANTAELE,EQ,0,0,0,5,5%,23,LTASM,III,LTASM-III
2026-05-17,ATMASTCO,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,AURIGROW,EQ,0,0,0,5,5%,11,STASM,I,STASM-I
2026-05-17,AUSL,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,AVADHSUGAR,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,AVANA,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,AVPINFRA,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,AVSL,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,AXISCADES,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,BAFNAPH,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,BALAXI,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,BALCO,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,BCG,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,BDR,IT,0,0,0,5,5%,0,NONE,,
2026-05-17,BEDMUTHA,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,BFUTILITIE,EQ,0,0,0,5,5%,11,STASM,I,STASM-I
2026-05-17,BGLOBAL,BZ,0,0,0,5,5%,0,NONE,,
2026-05-17,BGRENERGY,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,BHAGYANGR,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,BHANDARI,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,BILVYAPAR,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,BIRDYS,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,BIRLACABLE,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,BLBLIMITED,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,BLUECOAST,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,BLUEPEBBLE,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,BLUEWATER,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,BONLON,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,BORANA,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,BOSS,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,BRANDMAN,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,BROOKS,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,BSHSL,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,BULKCORP,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,BYKE,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,CADSYS,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,CALSOFT,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,CAPTRUST,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,CASHIETF,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,CBAZAAR,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,CEDAAR,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,CELLECOR,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,CEREBRAINT,BZ,0,0,0,5,5%,0,NONE,,
2026-05-17,CHEMBOND,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,CHEMBONDCH,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,CHEMFAB,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,CHETANA,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,CKKRETAIL,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,CLASSICEIL,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,CLCIND,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,CLEDUCATE,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,CMICABLES,BZ,0,0,0,5,5%,0,NONE,,
2026-05-17,CMRSL,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,COMMITTED,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,COMPINFO,BZ,0,0,0,5,5%,0,NONE,,
2026-05-17,CONSOFINVT,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,CONTI,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,COOLCAPS,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,CPCAP,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,CTE,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,CURAA,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,CYBERMEDIA,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,DANGEE,EQ,0,0,0,5,5%,21,LTASM,I,LTASM-I
2026-05-17,DBOL,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,DCI,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,DCMSIL,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,DEEDEV,EQ,0,0,0,5,5%,21,LTASM,I,LTASM-I
2026-05-17,DELTIC,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,DESTINY,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,DHARAN,BZ,0,0,0,5,5%,0,NONE,,
2026-05-17,DHRUV,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,DHTL,SM,0,0,0,5,5%,21,LTASM,I,LTASM-I
2026-05-17,DIGISPICE,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,DIL,BZ,0,0,0,5,5%,0,NONE,,
2026-05-17,DIRL,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,DISHTV,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,DIVINEHIRA,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,DIVYADHAN,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,DJML,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,DPEL,SM,0,0,0,5,5%,21,LTASM,I,LTASM-I
2026-05-17,DRONE,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,DRSCARGO,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,DRSDILIP,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,DSFCL,EQ,0,0,0,5,5%,21,LTASM,I,LTASM-I
2026-05-17,DUCON,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,DUGLOBAL,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,DURLAX,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,E2E,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,E2ERAIL,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,EASTSILK,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,EDUCOMP,BZ,0,0,0,5,5%,0,NONE,,
2026-05-17,EFORCE,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,ELIQUID,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,ELITECON,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,ENSER,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,EPWINDIA,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,EQUIPPP,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,ESCONET,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,ESFL,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,FAZE3Q,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,FCONSUMER,BZ,0,0,0,5,5%,0,NONE,,
2026-05-17,FCSSOFT,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,FELDVR,BZ,0,0,0,5,5%,0,NONE,,
2026-05-17,FIBERWEB,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,FILATFASH,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,FINBUD,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,FISCHER,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,FLFL,BZ,0,0,0,5,5%,0,NONE,,
2026-05-17,FOCE,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,FORGEAUTO,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,FRESHARA,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,FROG,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,GANESHIN,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,GANGABATH,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,GAUDIUMIVF,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,GAYAHWS,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,GAYAPROJ,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,GEMAROMA,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,GENSOL,BZ,0,0,0,5,5%,0,NONE,,
2026-05-17,GFSTEELS,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,GILT10BETA,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,GILT5BETA,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,GILT5YBEES,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,GIRIRAJ,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,GJL,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,GLOBALE,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,GLOBECIVIL,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,GOLDENTOBC,BZ,0,0,0,5,5%,0,NONE,,
2026-05-17,GOLDKART,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,GOLDSTAR,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,GRADIENTE,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,GRAPHISAD,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,GRCL,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,GREENCHEF,SM,0,0,0,5,5%,21,LTASM,I,LTASM-I
2026-05-17,GREENLEAF,SM,0,0,0,5,5%,0,NONE,,
2026-05-17,GRETEX,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,GROWWLIQID,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,GSEC10IETF,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,GSEC10YEAR,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,GSEC5IETF,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,GSLSU,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,GSS,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,GSTL,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,GTL,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,GURUNANAK,ST,0,0,0,5,5%,0,NONE,,
2026-05-17,GVPIL,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,HAVISHA,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,HBSL,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,HDFCLIQUID,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,HDIL,BZ,0,0,0,5,5%,0,NONE,,
2026-05-17,HILINFRA,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,HILTON,EQ,0,0,0,5,5%,0,NONE,,
2026-05-17,HINDCON,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,HITECHGEAR,BE,0,0,0,5,5%,0,NONE,,
2026-05-17,HMT,BZ,0,0,0,5,5%,0,NONE,,
2026-05-17,HOACFOODS,SM,0,0,0,5,5%,21,LTASM,I,LTASM-I
2026-05-17,HOLMARC,SM,0,0,0,5,5%,11,STASM,I,STASM-I
2026-05-17,HOMESFY,SM,0,0,0,5,5%,21,LTASM,I,LTASM-I
2026-05-17,HPTL,SM,0,0,0,5,5%,0,NONE,,
